customer_id,first_name,last_name,address,city,state,zip,phone,email,service_type,property_type,last_service_date,next_service_due
1,Brittany,Tucker,474 Knight Green,Richardview,NC,25636,(513)125-6094x8820,brittany.tucker@example.com,One-Time,Residential,2025-12-08,2026-01-07
2,Sandy,Smith,8221 Johnson Via Apt. 310,North Mistyburgh,VA,76549,017-582-5785x688,sandy.smith@example.com,One-Time,Commercial,2025-12-08,2026-03-08
3,Jack,Fletcher,170 Kayla Course,West Juliaborough,MD,77960,001-330-350-6564x60838,jack.fletcher@example.com,Weekly,Commercial,2025-12-08,2026-01-07
4,Melissa,Phillips,798 Goodman Ridge Suite 106,East Alexismouth,MD,84886,+1-440-157-6938x7090,melissa.phillips@example.com,Quarterly,Commercial,2025-12-08,2026-02-06
5,Mary,Martin,365 Christian Radial Apt. 996,Melissashire,PA,64264,083.077.4740x753,mary.martin@example.com,Quarterly,Residential,2025-12-08,2026-01-07
6,Michael,Lucas,810 Corey Isle Apt. 305,East Joshua,SC,26633,001-517-636-8953,michael.lucas@example.com,Weekly,Commercial,2025-12-08,2026-02-06
7,Melissa,Barton,7660 Colleen Union Suite 068,Reidside,NC,92171,995-701-0182x4162,melissa.barton@example.com,Quarterly,Commercial,2025-12-08,2026-02-06
8,Rachel,Taylor,756 Davenport Station,Hollowayborough,  PA,50133,(443)411-6514x35229,rachel.taylor@example.com,One-Time,Residential,2025-12-08,2026-03-08
9,Matthew,Wilson,295 Michele Neck,Ivanmouth,PA,52737,+1-949-842-1139x92122,matthew.wilson@example.com,Weekly,Commercial,2025-12-08,2026-03-08
10,Robin,Harris,271 Jeffrey Place Suite 758,Samanthahaven,NC,32866,(662)692-3796x2597,robin.harris@example.com,One-Time,Residential,2025-12-08,2026-02-06
11,Amy,Jones,075 Hogan Rapids,Chambersshire,VA,65186,483-193-5142,amy.jones@example.com,One-Time,Commercial,2025-12-08,2026-02-06
